Sun Oct 14 14:09:38 2018    profiling.txt

         11793505 function calls (11619950 primitive calls) in 79.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        5    0.001    0.000    0.176    0.035 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/target.py:110(generate_kernel_wrapper)
       10    0.001    0.000    0.176    0.018 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/postproc.py:70(run)
        1    0.000    0.000    0.174    0.174 /home/jaurim/anaconda3/lib/python3.7/site-packages/matplotlib/__init__.py:101(<module>)
       98    0.007    0.000    0.170    0.002 /home/jaurim/anaconda3/lib/python3.7/site-packages/scipy/stats/_distn_infrastructure.py:1487(__init__)
      275    0.169    0.001    0.169    0.001 {built-in method numpy.core.multiarray.unravel_index}
  139/117    0.001    0.000    0.167    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
  139/117    0.135    0.001    0.166    0.001 {built-in method _imp.create_dynamic}
        5    0.000    0.000    0.165    0.033 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/typeinfer.py:844(propagate)
       10    0.005    0.000    0.164    0.016 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/typeinfer.py:129(propagate)
    31230    0.157    0.000    0.157    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/utils.py:259(__setitem__)
       51    0.000    0.000    0.154    0.003 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/targets/arrayobj.py:384(_getitem_array_generic)
    17084    0.033    0.000    0.153    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/numeric.py:268(full)
    77306    0.054    0.000    0.152    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1276(__getattr__)
       10    0.000    0.000    0.149    0.015 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/postproc.py:153(_insert_var_dels)
    11448    0.047    0.000    0.149    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/llvmlite/ir/instructions.py:14(__init__)
      275    0.102    0.000    0.149    0.001 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/lib/function_base.py:4065(delete)
   889854    0.148    0.000    0.148    0.000 {method 'append' of 'list' objects}
   228055    0.147    0.000    0.147    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/servicelib/threadlocal.py:13(stack)
    29897    0.031    0.000    0.146    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numba/cuda/cudadrv/driver.py:1680(host_memory_extents)
    47409    0.142    0.000    0.142    0.000 {built-in method numba.mviewbuf.memoryview_get_buffer}
     4893    0.011    0.000    0.138    0.000 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/core/numeric.py:156(ones)
        1    0.000    0.000    0.138    0.138 /home/jaurim/anaconda3/lib/python3.7/site-packages/numpy/__init__.py:106(<module>)
